          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               8.119                   (-0.8128, 0.5826)                   (-1.528, -0.1161)
                8.12                   (-0.8124, 0.5831)                   (-1.526, -0.1176)
               8.121                   (-0.8121, 0.5836)                   (-1.524, -0.1191)
               8.122                   (-0.8117, 0.584)                   (-1.521, -0.1206)
               8.123                   (-0.8114, 0.5845)                   (-1.519, -0.1221)
               8.124                   (-0.8111, 0.5849)                   (-1.517, -0.1236)
               8.125                   (-0.8108, 0.5854)                   (-1.515, -0.1251)
               8.126                   (-0.8105, 0.5858)                   (-1.512, -0.1266)
               8.127                   (-0.8102, 0.5862)                   (-1.51, -0.1281)
               8.128                   (-0.8099, 0.5866)                   (-1.508, -0.1297)
               8.129                   (-0.8096, 0.587)                   (-1.505, -0.1312)
                8.13                   (-0.8093, 0.5874)                   (-1.503, -0.1328)
               8.131                   (-0.809, 0.5878)                   (-1.501, -0.1343)
               8.132                   (-0.8087, 0.5882)                   (-1.498, -0.1359)
               8.133                   (-0.8085, 0.5885)                   (-1.496, -0.1375)
               8.134                   (-0.8082, 0.5889)                   (-1.494, -0.1391)
               8.135                   (-0.808, 0.5892)                   (-1.492, -0.1406)
               8.136                   (-0.8077, 0.5895)                   (-1.489, -0.1422)
               8.137                   (-0.8075, 0.5899)                   (-1.487, -0.1438)
               8.138                   (-0.8073, 0.5902)                   (-1.485, -0.1455)
               8.139                   (-0.8071, 0.5905)                   (-1.482, -0.1471)
                8.14                   (-0.8068, 0.5908)                   (-1.48, -0.1487)
               8.141                   (-0.8066, 0.591)                   (-1.478, -0.1503)
               8.142                   (-0.8064, 0.5913)                   (-1.475, -0.152)
               8.143                   (-0.8063, 0.5916)                   (-1.473, -0.1536)
               8.144                   (-0.8061, 0.5918)                   (-1.471, -0.1553)
               8.145                   (-0.8059, 0.5921)                   (-1.468, -0.1569)
               8.146                   (-0.8057, 0.5923)                   (-1.466, -0.1586)
               8.147                   (-0.8056, 0.5925)                   (-1.464, -0.1603)
               8.148                   (-0.8054, 0.5927)                   (-1.461, -0.162)
               8.149                   (-0.8053, 0.5929)                   (-1.459, -0.1637)
                8.15                   (-0.8051, 0.5931)                   (-1.457, -0.1654)
               8.151                   (-0.805, 0.5933)                   (-1.454, -0.1671)
               8.152                   (-0.8049, 0.5935)                   (-1.452, -0.1688)
               8.153                   (-0.8047, 0.5936)                   (-1.45, -0.1705)
               8.154                   (-0.8046, 0.5938)                   (-1.447, -0.1722)
               8.155                   (-0.8045, 0.5939)                   (-1.445, -0.174)
               8.156                   (-0.8044, 0.594)                   (-1.443, -0.1757)
               8.157                   (-0.8043, 0.5942)                   (-1.44, -0.1775)
               8.158                   (-0.8043, 0.5943)                   (-1.438, -0.1792)
               8.159                   (-0.8042, 0.5944)                   (-1.436, -0.181)
                8.16                   (-0.8041, 0.5945)                   (-1.433, -0.1828)
               8.161                   (-0.8041, 0.5945)                   (-1.431, -0.1845)
               8.162                   (-0.804, 0.5946)                   (-1.429, -0.1863)
               8.163                   (-0.804, 0.5947)                   (-1.426, -0.1881)
               8.164                   (-0.8039, 0.5947)                   (-1.424, -0.1899)
               8.165                   (-0.8039, 0.5948)                   (-1.422, -0.1917)
               8.166                   (-0.8039, 0.5948)                   (-1.419, -0.1935)
               8.167                   (-0.8039, 0.5948)                   (-1.417, -0.1954)
               8.168                   (-0.8039, 0.5948)                   (-1.414, -0.1972)
               8.169                   (-0.8039, 0.5948)                   (-1.412, -0.199)
                8.17                   (-0.8039, 0.5948)                   (-1.41, -0.2009)
               8.171                   (-0.8039, 0.5948)                   (-1.407, -0.2027)
               8.172                   (-0.8039, 0.5947)                   (-1.405, -0.2046)
               8.173                   (-0.804, 0.5947)                   (-1.402, -0.2064)
               8.174                   (-0.804, 0.5946)                   (-1.4, -0.2083)
               8.175                   (-0.8041, 0.5946)                   (-1.398, -0.2102)
               8.176                   (-0.8041, 0.5945)                   (-1.395, -0.212)
               8.177                   (-0.8042, 0.5944)                   (-1.393, -0.2139)
               8.178                   (-0.8042, 0.5943)                   (-1.391, -0.2158)
               8.179                   (-0.8043, 0.5942)                   (-1.388, -0.2177)
                8.18                   (-0.8044, 0.5941)                   (-1.386, -0.2196)
               8.181                   (-0.8045, 0.5939)                   (-1.383, -0.2215)
               8.182                   (-0.8046, 0.5938)                   (-1.381, -0.2235)
               8.183                   (-0.8047, 0.5936)                   (-1.378, -0.2254)
               8.184                   (-0.8049, 0.5935)                   (-1.376, -0.2273)
               8.185                   (-0.805, 0.5933)                   (-1.374, -0.2293)
               8.186                   (-0.8051, 0.5931)                   (-1.371, -0.2312)
               8.187                   (-0.8053, 0.5929)                   (-1.369, -0.2331)
               8.188                   (-0.8054, 0.5927)                   (-1.366, -0.2351)
               8.189                   (-0.8056, 0.5925)                   (-1.364, -0.2371)
                8.19                   (-0.8057, 0.5923)                   (-1.362, -0.239)
               8.191                   (-0.8059, 0.592)                   (-1.359, -0.241)
               8.192                   (-0.8061, 0.5918)                   (-1.357, -0.243)
               8.193                   (-0.8063, 0.5915)                   (-1.354, -0.245)
               8.194                   (-0.8065, 0.5912)                   (-1.352, -0.247)
               8.195                   (-0.8067, 0.591)                   (-1.349, -0.249)
               8.196                   (-0.8069, 0.5907)                   (-1.347, -0.251)
               8.197                   (-0.8071, 0.5904)                   (-1.345, -0.253)
               8.198                   (-0.8074, 0.59)                   (-1.342, -0.255)
               8.199                   (-0.8076, 0.5897)                   (-1.34, -0.257)
                 8.2                   (-0.8079, 0.5894)                   (-1.337, -0.2591)
               8.201                   (-0.8081, 0.589)                   (-1.335, -0.2611)
               8.202                   (-0.8084, 0.5887)                   (-1.332, -0.2632)
               8.203                   (-0.8087, 0.5883)                   (-1.33, -0.2652)
               8.204                   (-0.8089, 0.5879)                   (-1.327, -0.2673)
               8.205                   (-0.8092, 0.5875)                   (-1.325, -0.2693)
               8.206                   (-0.8095, 0.5871)                   (-1.322, -0.2714)
               8.207                   (-0.8098, 0.5867)                   (-1.32, -0.2735)
               8.208                   (-0.8101, 0.5862)                   (-1.317, -0.2755)
               8.209                   (-0.8105, 0.5858)                   (-1.315, -0.2776)
                8.21                   (-0.8108, 0.5853)                   (-1.313, -0.2797)
               8.211                   (-0.8111, 0.5849)                   (-1.31, -0.2818)
               8.212                   (-0.8115, 0.5844)                   (-1.308, -0.2839)
               8.213                   (-0.8118, 0.5839)                   (-1.305, -0.286)
               8.214                   (-0.8122, 0.5834)                   (-1.303, -0.2881)
               8.215                   (-0.8126, 0.5829)                   (-1.3, -0.2902)
               8.216                   (-0.8129, 0.5823)                   (-1.298, -0.2924)
               8.217                   (-0.8133, 0.5818)                   (-1.295, -0.2945)
               8.218                   (-0.8137, 0.5812)                   (-1.293, -0.2966)
               8.219                   (-0.8141, 0.5807)                   (-1.29, -0.2988)
                8.22                   (-0.8145, 0.5801)                   (-1.288, -0.3009)
               8.221                   (-0.815, 0.5795)                   (-1.285, -0.3031)
               8.222                   (-0.8154, 0.5789)                   (-1.283, -0.3052)
               8.223                   (-0.8158, 0.5783)                   (-1.28, -0.3074)
               8.224                   (-0.8163, 0.5777)                   (-1.278, -0.3095)
               8.225                   (-0.8167, 0.577)                   (-1.275, -0.3117)
               8.226                   (-0.8172, 0.5764)                   (-1.273, -0.3139)
               8.227                   (-0.8176, 0.5757)                   (-1.27, -0.3161)
               8.228                   (-0.8181, 0.5751)                   (-1.268, -0.3183)
               8.229                   (-0.8186, 0.5744)                   (-1.265, -0.3204)
                8.23                   (-0.8191, 0.5737)                   (-1.263, -0.3226)
               8.231                   (-0.8196, 0.573)                   (-1.26, -0.3248)
               8.232                   (-0.8201, 0.5722)                   (-1.257, -0.3271)
               8.233                   (-0.8206, 0.5715)                   (-1.255, -0.3293)
               8.234                   (-0.8211, 0.5707)                   (-1.252, -0.3315)
               8.235                   (-0.8217, 0.57)                   (-1.25, -0.3337)
               8.236                   (-0.8222, 0.5692)                   (-1.247, -0.3359)
               8.237                   (-0.8227, 0.5684)                   (-1.245, -0.3382)
               8.238                   (-0.8233, 0.5676)                   (-1.242, -0.3404)
               8.239                   (-0.8239, 0.5668)                   (-1.24, -0.3426)
                8.24                   (-0.8244, 0.566)                   (-1.237, -0.3449)
               8.241                   (-0.825, 0.5651)                   (-1.235, -0.3471)
               8.242                   (-0.8256, 0.5643)                   (-1.232, -0.3494)
               8.243                   (-0.8262, 0.5634)                   (-1.23, -0.3517)
               8.244                   (-0.8268, 0.5625)                   (-1.227, -0.3539)
               8.245                   (-0.8274, 0.5616)                   (-1.224, -0.3562)
               8.246                   (-0.828, 0.5607)                   (-1.222, -0.3585)
               8.247                   (-0.8286, 0.5598)                   (-1.219, -0.3608)
               8.248                   (-0.8293, 0.5588)                   (-1.217, -0.363)
               8.249                   (-0.8299, 0.5579)                   (-1.214, -0.3653)
                8.25                   (-0.8306, 0.5569)                   (-1.212, -0.3676)
               8.251                   (-0.8312, 0.556)                   (-1.209, -0.3699)
               8.252                   (-0.8319, 0.555)                   (-1.206, -0.3722)
               8.253                   (-0.8325, 0.554)                   (-1.204, -0.3745)
               8.254                   (-0.8332, 0.5529)                   (-1.201, -0.3768)
               8.255                   (-0.8339, 0.5519)                   (-1.199, -0.3792)
               8.256                   (-0.8346, 0.5509)                   (-1.196, -0.3815)
               8.257                   (-0.8353, 0.5498)                   (-1.194, -0.3838)
               8.258                   (-0.836, 0.5487)                   (-1.191, -0.3861)
               8.259                   (-0.8367, 0.5476)                   (-1.188, -0.3885)
                8.26                   (-0.8374, 0.5465)                   (-1.186, -0.3908)
               8.261                   (-0.8382, 0.5454)                   (-1.183, -0.3932)
               8.262                   (-0.8389, 0.5443)                   (-1.181, -0.3955)
               8.263                   (-0.8396, 0.5432)                   (-1.178, -0.3979)
               8.264                   (-0.8404, 0.542)                   (-1.175, -0.4002)
               8.265                   (-0.8411, 0.5408)                   (-1.173, -0.4026)
               8.266                   (-0.8419, 0.5396)                   (-1.17, -0.4049)
               8.267                   (-0.8427, 0.5384)                   (-1.168, -0.4073)
               8.268                   (-0.8434, 0.5372)                   (-1.165, -0.4097)
               8.269                   (-0.8442, 0.536)                   (-1.162, -0.4121)
                8.27                   (-0.845, 0.5347)                   (-1.16, -0.4144)
               8.271                   (-0.8458, 0.5335)                   (-1.157, -0.4168)
               8.272                   (-0.8466, 0.5322)                   (-1.155, -0.4192)
               8.273                   (-0.8474, 0.5309)                   (-1.152, -0.4216)
               8.274                   (-0.8483, 0.5296)                   (-1.149, -0.424)
               8.275                   (-0.8491, 0.5283)                   (-1.147, -0.4264)
               8.276                   (-0.8499, 0.5269)                   (-1.144, -0.4288)
               8.277                   (-0.8507, 0.5256)                   (-1.141, -0.4312)
               8.278                   (-0.8516, 0.5242)                   (-1.139, -0.4336)
               8.279                   (-0.8524, 0.5228)                   (-1.136, -0.436)
                8.28                   (-0.8533, 0.5214)                   (-1.134, -0.4385)
               8.281                   (-0.8542, 0.52)                   (-1.131, -0.4409)
               8.282                   (-0.855, 0.5186)                   (-1.128, -0.4433)
               8.283                   (-0.8559, 0.5172)                   (-1.126, -0.4458)
               8.284                   (-0.8568, 0.5157)                   (-1.123, -0.4482)
               8.285                   (-0.8577, 0.5142)                   (-1.12, -0.4506)
               8.286                   (-0.8586, 0.5127)                   (-1.118, -0.4531)
               8.287                   (-0.8594, 0.5112)                   (-1.115, -0.4555)
               8.288                   (-0.8604, 0.5097)                   (-1.113, -0.458)
               8.289                   (-0.8613, 0.5082)                   (-1.11, -0.4604)
                8.29                   (-0.8622, 0.5066)                   (-1.107, -0.4629)
               8.291                   (-0.8631, 0.505)                   (-1.105, -0.4654)
               8.292                   (-0.864, 0.5035)                   (-1.102, -0.4678)
               8.293                   (-0.8649, 0.5019)                   (-1.099, -0.4703)
               8.294                   (-0.8659, 0.5002)                   (-1.097, -0.4728)
               8.295                   (-0.8668, 0.4986)                   (-1.094, -0.4752)
               8.296                   (-0.8678, 0.497)                   (-1.091, -0.4777)
               8.297                   (-0.8687, 0.4953)                   (-1.089, -0.4802)
               8.298                   (-0.8697, 0.4936)                   (-1.086, -0.4827)
               8.299                   (-0.8706, 0.4919)                   (-1.083, -0.4852)
                 8.3                   (-0.8716, 0.4902)                   (-1.081, -0.4877)
               8.301                   (-0.8726, 0.4885)                   (-1.078, -0.4902)
               8.302                   (-0.8736, 0.4867)                   (-1.075, -0.4927)
               8.303                   (-0.8745, 0.485)                   (-1.073, -0.4952)
               8.304                   (-0.8755, 0.4832)                   (-1.07, -0.4977)
               8.305                   (-0.8765, 0.4814)                   (-1.067, -0.5002)
               8.306                   (-0.8775, 0.4796)                   (-1.065, -0.5027)
               8.307                   (-0.8785, 0.4777)                   (-1.062, -0.5053)
               8.308                   (-0.8795, 0.4759)                   (-1.059, -0.5078)
               8.309                   (-0.8805, 0.474)                   (-1.057, -0.5103)
                8.31                   (-0.8815, 0.4722)                   (-1.054, -0.5128)
               8.311                   (-0.8825, 0.4703)                   (-1.051, -0.5154)
               8.312                   (-0.8835, 0.4683)                   (-1.049, -0.5179)
               8.313                   (-0.8846, 0.4664)                   (-1.046, -0.5205)
               8.314                   (-0.8856, 0.4645)                   (-1.043, -0.523)
               8.315                   (-0.8866, 0.4625)                   (-1.041, -0.5256)
               8.316                   (-0.8877, 0.4605)                   (-1.038, -0.5281)
               8.317                   (-0.8887, 0.4585)                   (-1.035, -0.5307)
               8.318                   (-0.8897, 0.4565)                   (-1.033, -0.5332)
               8.319                   (-0.8908, 0.4545)                   (-1.03, -0.5358)
                8.32                   (-0.8918, 0.4524)                   (-1.027, -0.5384)
               8.321                   (-0.8929, 0.4503)                   (-1.025, -0.5409)
               8.322                   (-0.8939, 0.4483)                   (-1.022, -0.5435)
               8.323                   (-0.895, 0.4462)                   (-1.019, -0.5461)
               8.324                   (-0.896, 0.444)                   (-1.017, -0.5487)
               8.325                   (-0.8971, 0.4419)                   (-1.014, -0.5512)
               8.326                   (-0.8981, 0.4397)                   (-1.011, -0.5538)
               8.327                   (-0.8992, 0.4376)                   (-1.009, -0.5564)
               8.328                   (-0.9002, 0.4354)                   (-1.006, -0.559)
               8.329                   (-0.9013, 0.4332)                   (-1.003, -0.5616)
                8.33                   (-0.9024, 0.4309)                   (-1, -0.5642)
               8.331                   (-0.9034, 0.4287)                   (-0.9978, -0.5668)
               8.332                   (-0.9045, 0.4264)                   (-0.9951, -0.5694)
               8.333                   (-0.9056, 0.4242)                   (-0.9924, -0.5721)
               8.334                   (-0.9067, 0.4219)                   (-0.9897, -0.5747)
               8.335                   (-0.9077, 0.4196)                   (-0.9871, -0.5773)
               8.336                   (-0.9088, 0.4172)                   (-0.9844, -0.5799)
               8.337                   (-0.9099, 0.4149)                   (-0.9817, -0.5825)
               8.338                   (-0.911, 0.4125)                   (-0.979, -0.5852)
               8.339                   (-0.912, 0.4101)                   (-0.9763, -0.5878)
                8.34                   (-0.9131, 0.4077)                   (-0.9736, -0.5905)
               8.341                   (-0.9142, 0.4053)                   (-0.9709, -0.5931)
               8.342                   (-0.9153, 0.4029)                   (-0.9682, -0.5957)
               8.343                   (-0.9163, 0.4004)                   (-0.9655, -0.5984)
               8.344                   (-0.9174, 0.3979)                   (-0.9628, -0.6011)
               8.345                   (-0.9185, 0.3954)                   (-0.9601, -0.6037)
               8.346                   (-0.9196, 0.3929)                   (-0.9574, -0.6064)
               8.347                   (-0.9207, 0.3904)                   (-0.9547, -0.609)
               8.348                   (-0.9217, 0.3878)                   (-0.952, -0.6117)
               8.349                   (-0.9228, 0.3853)                   (-0.9494, -0.6144)
                8.35                   (-0.9239, 0.3827)                   (-0.9467, -0.6171)
               8.351                   (-0.925, 0.3801)                   (-0.944, -0.6197)
               8.352                   (-0.926, 0.3775)                   (-0.9413, -0.6224)
               8.353                   (-0.9271, 0.3748)                   (-0.9386, -0.6251)
               8.354                   (-0.9282, 0.3722)                   (-0.9359, -0.6278)
               8.355                   (-0.9292, 0.3695)                   (-0.9332, -0.6305)
               8.356                   (-0.9303, 0.3668)                   (-0.9305, -0.6332)
               8.357                   (-0.9314, 0.3641)                   (-0.9278, -0.6359)
               8.358                   (-0.9324, 0.3614)                   (-0.9251, -0.6386)
               8.359                   (-0.9335, 0.3586)                   (-0.9224, -0.6413)
                8.36                   (-0.9345, 0.3558)                   (-0.9197, -0.6441)
               8.361                   (-0.9356, 0.3531)                   (-0.917, -0.6468)
               8.362                   (-0.9367, 0.3502)                   (-0.9143, -0.6495)
               8.363                   (-0.9377, 0.3474)                   (-0.9116, -0.6522)
               8.364                   (-0.9388, 0.3446)                   (-0.9089, -0.655)
               8.365                   (-0.9398, 0.3417)                   (-0.9062, -0.6577)
               8.366                   (-0.9408, 0.3389)                   (-0.9035, -0.6605)
               8.367                   (-0.9419, 0.336)                   (-0.9008, -0.6632)
               8.368                   (-0.9429, 0.333)                   (-0.8982, -0.666)
               8.369                   (-0.9439, 0.3301)                   (-0.8955, -0.6687)
                8.37                   (-0.945, 0.3272)                   (-0.8928, -0.6715)
               8.371                   (-0.946, 0.3242)                   (-0.8901, -0.6742)
               8.372                   (-0.947, 0.3212)                   (-0.8874, -0.677)
               8.373                   (-0.948, 0.3182)                   (-0.8847, -0.6798)
               8.374                   (-0.949, 0.3152)                   (-0.882, -0.6826)
               8.375                   (-0.95, 0.3122)                   (-0.8793, -0.6853)
               8.376                   (-0.951, 0.3091)                   (-0.8766, -0.6881)
               8.377                   (-0.952, 0.306)                   (-0.8739, -0.6909)
               8.378                   (-0.953, 0.3029)                   (-0.8712, -0.6937)
               8.379                   (-0.954, 0.2998)                   (-0.8685, -0.6965)
                8.38                   (-0.955, 0.2967)                   (-0.8658, -0.6993)
               8.381                   (-0.9559, 0.2935)                   (-0.8632, -0.7021)
               8.382                   (-0.9569, 0.2904)                   (-0.8605, -0.705)
               8.383                   (-0.9579, 0.2872)                   (-0.8578, -0.7078)
               8.384                   (-0.9588, 0.284)                   (-0.8551, -0.7106)
               8.385                   (-0.9598, 0.2808)                   (-0.8524, -0.7134)
               8.386                   (-0.9607, 0.2775)                   (-0.8497, -0.7163)
               8.387                   (-0.9617, 0.2743)                   (-0.847, -0.7191)
               8.388                   (-0.9626, 0.271)                   (-0.8443, -0.722)
               8.389                   (-0.9635, 0.2677)                   (-0.8417, -0.7248)
                8.39                   (-0.9644, 0.2644)                   (-0.839, -0.7277)
               8.391                   (-0.9653, 0.2611)                   (-0.8363, -0.7306)
               8.392                   (-0.9662, 0.2577)                   (-0.8336, -0.7334)
               8.393                   (-0.9671, 0.2544)                   (-0.8309, -0.7363)
               8.394                   (-0.968, 0.251)                   (-0.8282, -0.7392)
               8.395                   (-0.9689, 0.2476)                   (-0.8256, -0.7421)
               8.396                   (-0.9697, 0.2442)                   (-0.8229, -0.745)
               8.397                   (-0.9706, 0.2408)                   (-0.8202, -0.7479)
               8.398                   (-0.9714, 0.2373)                   (-0.8175, -0.7508)
               8.399                   (-0.9723, 0.2339)                   (-0.8148, -0.7537)
                 8.4                   (-0.9731, 0.2304)                   (-0.8122, -0.7566)
               8.401                   (-0.9739, 0.2269)                   (-0.8095, -0.7595)
               8.402                   (-0.9747, 0.2234)                   (-0.8068, -0.7624)
               8.403                   (-0.9755, 0.2198)                   (-0.8041, -0.7654)
               8.404                   (-0.9763, 0.2163)                   (-0.8015, -0.7683)
               8.405                   (-0.9771, 0.2127)                   (-0.7988, -0.7712)
               8.406                   (-0.9779, 0.2091)                   (-0.7961, -0.7742)
               8.407                   (-0.9786, 0.2055)                   (-0.7934, -0.7772)
               8.408                   (-0.9794, 0.2019)                   (-0.7908, -0.7801)
               8.409                   (-0.9801, 0.1983)                   (-0.7881, -0.7831)
                8.41                   (-0.9809, 0.1946)                   (-0.7854, -0.7861)
               8.411                   (-0.9816, 0.191)                   (-0.7827, -0.789)
               8.412                   (-0.9823, 0.1873)                   (-0.7801, -0.792)
               8.413                   (-0.983, 0.1836)                   (-0.7774, -0.795)
               8.414                   (-0.9837, 0.1799)                   (-0.7747, -0.798)
               8.415                   (-0.9844, 0.1762)                   (-0.7721, -0.801)
               8.416                   (-0.985, 0.1724)                   (-0.7694, -0.8041)
               8.417                   (-0.9857, 0.1687)                   (-0.7667, -0.8071)
               8.418                   (-0.9863, 0.1649)                   (-0.7641, -0.8101)
               8.419                   (-0.9869, 0.1611)                   (-0.7614, -0.8131)
                8.42                   (-0.9876, 0.1573)                   (-0.7587, -0.8162)
               8.421                   (-0.9882, 0.1535)                   (-0.7561, -0.8192)
               8.422                   (-0.9887, 0.1496)                   (-0.7534, -0.8223)
               8.423                   (-0.9893, 0.1458)                   (-0.7507, -0.8254)
               8.424                   (-0.9899, 0.1419)                   (-0.7481, -0.8284)
               8.425                   (-0.9904, 0.138)                   (-0.7454, -0.8315)
               8.426                   (-0.991, 0.1341)                   (-0.7427, -0.8346)
               8.427                   (-0.9915, 0.1302)                   (-0.7401, -0.8377)
               8.428                   (-0.992, 0.1263)                   (-0.7374, -0.8408)
               8.429                   (-0.9925, 0.1223)                   (-0.7348, -0.8439)
                8.43                   (-0.993, 0.1184)                   (-0.7321, -0.847)
               8.431                   (-0.9934, 0.1144)                   (-0.7294, -0.8501)
               8.432                   (-0.9939, 0.1104)                   (-0.7268, -0.8533)
               8.433                   (-0.9943, 0.1064)                   (-0.7241, -0.8564)
               8.434                   (-0.9947, 0.1024)                   (-0.7215, -0.8595)
               8.435                   (-0.9952, 0.09836)                   (-0.7188, -0.8627)
               8.436                   (-0.9955, 0.09432)                   (-0.7162, -0.8659)
               8.437                   (-0.9959, 0.09027)                   (-0.7135, -0.869)
               8.438                   (-0.9963, 0.0862)                   (-0.7109, -0.8722)
               8.439                   (-0.9966, 0.08211)                   (-0.7082, -0.8754)
                8.44                   (-0.997, 0.07802)                   (-0.7055, -0.8786)
               8.441                   (-0.9973, 0.07391)                   (-0.7029, -0.8818)
               8.442                   (-0.9976, 0.06978)                   (-0.7002, -0.885)
               8.443                   (-0.9978, 0.06565)                   (-0.6976, -0.8882)
               8.444                   (-0.9981, 0.0615)                   (-0.6949, -0.8914)
               8.445                   (-0.9984, 0.05734)                   (-0.6923, -0.8947)
               8.446                   (-0.9986, 0.05316)                   (-0.6896, -0.8979)
               8.447                   (-0.9988, 0.04898)                   (-0.687, -0.9012)
               8.448                   (-0.999, 0.04478)                   (-0.6843, -0.9044)
               8.449                   (-0.9992, 0.04056)                   (-0.6817, -0.9077)
                8.45                   (-0.9993, 0.03634)                   (-0.679, -0.911)
               8.451                   (-0.9995, 0.03211)                   (-0.6764, -0.9143)
               8.452                   (-0.9996, 0.02786)                   (-0.6737, -0.9176)
               8.453                   (-0.9997, 0.0236)                   (-0.6711, -0.9209)
               8.454                   (-0.9998, 0.01933)                   (-0.6684, -0.9242)
               8.455                   (-0.9999, 0.01505)                   (-0.6658, -0.9275)
               8.456                   (-0.9999, 0.01076)                   (-0.6632, -0.9308)
               8.457                   (-1, 0.006454)                   (-0.6605, -0.9342)
               8.458                   (-1, 0.00214)                   (-0.6579, -0.9375)
               8.459                   (-1, -0.002185)                   (-0.6552, -0.9409)
                8.46                   (-1, -0.006521)                   (-0.6526, -0.9442)
               8.461                   (-0.9999, -0.01087)                   (-0.6499, -0.9476)
               8.462                   (-0.9999, -0.01522)                   (-0.6473, -0.951)
               8.463                   (-0.9998, -0.01959)                   (-0.6446, -0.9544)
               8.464                   (-0.9997, -0.02397)                   (-0.642, -0.9578)
               8.465                   (-0.9996, -0.02835)                   (-0.6393, -0.9612)
               8.466                   (-0.9995, -0.03275)                   (-0.6367, -0.9646)
               8.467                   (-0.9993, -0.03716)                   (-0.6341, -0.9681)
               8.468                   (-0.9991, -0.04157)                   (-0.6314, -0.9715)
               8.469                   (-0.9989, -0.046)                   (-0.6288, -0.975)
                8.47                   (-0.9987, -0.05043)                   (-0.6261, -0.9784)
               8.471                   (-0.9985, -0.05487)                   (-0.6235, -0.9819)
               8.472                   (-0.9982, -0.05932)                   (-0.6208, -0.9854)
               8.473                   (-0.998, -0.06378)                   (-0.6182, -0.9889)
               8.474                   (-0.9977, -0.06825)                   (-0.6155, -0.9924)
               8.475                   (-0.9974, -0.07273)                   (-0.6129, -0.9959)
               8.476                   (-0.997, -0.07721)                   (-0.6103, -0.9994)
               8.477                   (-0.9967, -0.0817)                   (-0.6076, -1.003)
               8.478                   (-0.9963, -0.0862)                   (-0.605, -1.006)
               8.479                   (-0.9959, -0.09071)                   (-0.6023, -1.01)
                8.48                   (-0.9955, -0.09523)                   (-0.5997, -1.014)
               8.481                   (-0.995, -0.09975)                   (-0.597, -1.017)
               8.482                   (-0.9945, -0.1043)                   (-0.5944, -1.021)
               8.483                   (-0.9941, -0.1088)                   (-0.5917, -1.024)
               8.484                   (-0.9936, -0.1134)                   (-0.5891, -1.028)
               8.485                   (-0.993, -0.1179)                   (-0.5864, -1.032)
               8.486                   (-0.9925, -0.1225)                   (-0.5838, -1.035)
               8.487                   (-0.9919, -0.127)                   (-0.5812, -1.039)
               8.488                   (-0.9913, -0.1316)                   (-0.5785, -1.042)
               8.489                   (-0.9907, -0.1362)                   (-0.5759, -1.046)
                8.49                   (-0.99, -0.1408)                   (-0.5732, -1.05)
               8.491                   (-0.9894, -0.1453)                   (-0.5706, -1.053)
               8.492                   (-0.9887, -0.1499)                   (-0.5679, -1.057)
               8.493                   (-0.988, -0.1545)                   (-0.5653, -1.061)
               8.494                   (-0.9873, -0.1591)                   (-0.5626, -1.064)
               8.495                   (-0.9865, -0.1637)                   (-0.56, -1.068)
               8.496                   (-0.9857, -0.1684)                   (-0.5573, -1.072)
               8.497                   (-0.9849, -0.173)                   (-0.5547, -1.076)
               8.498                   (-0.9841, -0.1776)                   (-0.552, -1.079)
               8.499                   (-0.9833, -0.1822)                   (-0.5494, -1.083)
                 8.5                   (-0.9824, -0.1868)                   (-0.5467, -1.087)
               8.501                   (-0.9815, -0.1915)                   (-0.5441, -1.091)
               8.502                   (-0.9806, -0.1961)                   (-0.5414, -1.095)
               8.503                   (-0.9796, -0.2008)                   (-0.5388, -1.098)
               8.504                   (-0.9787, -0.2054)                   (-0.5361, -1.102)
               8.505                   (-0.9777, -0.2101)                   (-0.5335, -1.106)
               8.506                   (-0.9767, -0.2147)                   (-0.5308, -1.11)
               8.507                   (-0.9756, -0.2194)                   (-0.5282, -1.114)
               8.508                   (-0.9746, -0.224)                   (-0.5255, -1.118)
               8.509                   (-0.9735, -0.2287)                   (-0.5228, -1.121)
                8.51                   (-0.9724, -0.2333)                   (-0.5202, -1.125)
               8.511                   (-0.9713, -0.238)                   (-0.5175, -1.129)
               8.512                   (-0.9701, -0.2427)                   (-0.5149, -1.133)
               8.513                   (-0.9689, -0.2473)                   (-0.5122, -1.137)
               8.514                   (-0.9677, -0.252)                   (-0.5096, -1.141)
               8.515                   (-0.9665, -0.2567)                   (-0.5069, -1.145)
               8.516                   (-0.9652, -0.2614)                   (-0.5042, -1.149)
               8.517                   (-0.964, -0.266)                   (-0.5016, -1.153)
               8.518                   (-0.9627, -0.2707)                   (-0.4989, -1.157)
               8.519                   (-0.9613, -0.2754)                   (-0.4963, -1.161)
                8.52                   (-0.96, -0.2801)                   (-0.4936, -1.165)
               8.521                   (-0.9586, -0.2847)                   (-0.4909, -1.169)
               8.522                   (-0.9572, -0.2894)                   (-0.4883, -1.173)
               8.523                   (-0.9558, -0.2941)                   (-0.4856, -1.177)
               8.524                   (-0.9543, -0.2988)                   (-0.4829, -1.181)
               8.525                   (-0.9528, -0.3035)                   (-0.4803, -1.185)
               8.526                   (-0.9513, -0.3081)                   (-0.4776, -1.189)
               8.527                   (-0.9498, -0.3128)                   (-0.4749, -1.193)
               8.528                   (-0.9483, -0.3175)                   (-0.4723, -1.197)
