          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               0.276                   (0.9398, -0.3416)                   (1.691, 0.3181)
               0.277                   (0.939, -0.3439)                   (1.691, 0.3151)
               0.278                   (0.9382, -0.3461)                   (1.691, 0.3122)
               0.279                   (0.9374, -0.3483)                   (1.691, 0.3093)
                0.28                   (0.9365, -0.3505)                   (1.691, 0.3063)
               0.281                   (0.9357, -0.3528)                   (1.69, 0.3034)
               0.282                   (0.9349, -0.355)                   (1.69, 0.3004)
               0.283                   (0.934, -0.3573)                   (1.69, 0.2974)
               0.284                   (0.9331, -0.3595)                   (1.69, 0.2944)
               0.285                   (0.9323, -0.3618)                   (1.689, 0.2914)
               0.286                   (0.9314, -0.364)                   (1.689, 0.2884)
               0.287                   (0.9305, -0.3663)                   (1.689, 0.2854)
               0.288                   (0.9296, -0.3686)                   (1.689, 0.2824)
               0.289                   (0.9287, -0.3708)                   (1.689, 0.2793)
                0.29                   (0.9278, -0.3731)                   (1.688, 0.2763)
               0.291                   (0.9269, -0.3754)                   (1.688, 0.2732)
               0.292                   (0.926, -0.3776)                   (1.688, 0.2701)
               0.293                   (0.925, -0.3799)                   (1.688, 0.267)
               0.294                   (0.9241, -0.3822)                   (1.687, 0.2639)
               0.295                   (0.9231, -0.3845)                   (1.687, 0.2608)
               0.296                   (0.9222, -0.3868)                   (1.687, 0.2577)
               0.297                   (0.9212, -0.3891)                   (1.687, 0.2545)
               0.298                   (0.9202, -0.3914)                   (1.686, 0.2514)
               0.299                   (0.9193, -0.3937)                   (1.686, 0.2482)
                 0.3                   (0.9183, -0.396)                   (1.686, 0.245)
               0.301                   (0.9173, -0.3983)                   (1.686, 0.2418)
               0.302                   (0.9163, -0.4006)                   (1.685, 0.2386)
               0.303                   (0.9153, -0.4029)                   (1.685, 0.2354)
               0.304                   (0.9142, -0.4052)                   (1.685, 0.2322)
               0.305                   (0.9132, -0.4075)                   (1.685, 0.229)
               0.306                   (0.9122, -0.4098)                   (1.684, 0.2257)
               0.307                   (0.9111, -0.4121)                   (1.684, 0.2225)
               0.308                   (0.9101, -0.4144)                   (1.684, 0.2192)
               0.309                   (0.909, -0.4168)                   (1.683, 0.2159)
                0.31                   (0.9079, -0.4191)                   (1.683, 0.2126)
               0.311                   (0.9069, -0.4214)                   (1.683, 0.2093)
               0.312                   (0.9058, -0.4237)                   (1.683, 0.206)
               0.313                   (0.9047, -0.4261)                   (1.682, 0.2027)
               0.314                   (0.9036, -0.4284)                   (1.682, 0.1993)
               0.315                   (0.9025, -0.4307)                   (1.682, 0.196)
               0.316                   (0.9014, -0.4331)                   (1.681, 0.1926)
               0.317                   (0.9002, -0.4354)                   (1.681, 0.1892)
               0.318                   (0.8991, -0.4377)                   (1.681, 0.1859)
               0.319                   (0.898, -0.4401)                   (1.681, 0.1825)
                0.32                   (0.8968, -0.4424)                   (1.68, 0.1791)
               0.321                   (0.8957, -0.4448)                   (1.68, 0.1756)
               0.322                   (0.8945, -0.4471)                   (1.68, 0.1722)
               0.323                   (0.8933, -0.4494)                   (1.679, 0.1688)
               0.324                   (0.8921, -0.4518)                   (1.679, 0.1653)
               0.325                   (0.8909, -0.4541)                   (1.679, 0.1618)
               0.326                   (0.8897, -0.4565)                   (1.678, 0.1583)
               0.327                   (0.8885, -0.4588)                   (1.678, 0.1549)
               0.328                   (0.8873, -0.4612)                   (1.678, 0.1513)
               0.329                   (0.8861, -0.4635)                   (1.677, 0.1478)
                0.33                   (0.8848, -0.4659)                   (1.677, 0.1443)
               0.331                   (0.8836, -0.4682)                   (1.677, 0.1408)
               0.332                   (0.8823, -0.4706)                   (1.676, 0.1372)
               0.333                   (0.8811, -0.473)                   (1.676, 0.1336)
               0.334                   (0.8798, -0.4753)                   (1.676, 0.1301)
               0.335                   (0.8785, -0.4777)                   (1.675, 0.1265)
               0.336                   (0.8773, -0.48)                   (1.675, 0.1229)
               0.337                   (0.876, -0.4824)                   (1.675, 0.1193)
               0.338                   (0.8747, -0.4847)                   (1.674, 0.1156)
               0.339                   (0.8734, -0.4871)                   (1.674, 0.112)
                0.34                   (0.872, -0.4894)                   (1.674, 0.1084)
               0.341                   (0.8707, -0.4918)                   (1.673, 0.1047)
               0.342                   (0.8694, -0.4942)                   (1.673, 0.101)
               0.343                   (0.868, -0.4965)                   (1.673, 0.09735)
               0.344                   (0.8667, -0.4989)                   (1.672, 0.09365)
               0.345                   (0.8653, -0.5012)                   (1.672, 0.08995)
               0.346                   (0.8639, -0.5036)                   (1.671, 0.08623)
               0.347                   (0.8626, -0.5059)                   (1.671, 0.0825)
               0.348                   (0.8612, -0.5083)                   (1.671, 0.07875)
               0.349                   (0.8598, -0.5107)                   (1.67, 0.075)
                0.35                   (0.8584, -0.513)                   (1.67, 0.07123)
               0.351                   (0.857, -0.5154)                   (1.67, 0.06745)
               0.352                   (0.8556, -0.5177)                   (1.669, 0.06366)
               0.353                   (0.8541, -0.5201)                   (1.669, 0.05986)
               0.354                   (0.8527, -0.5224)                   (1.668, 0.05604)
               0.355                   (0.8512, -0.5248)                   (1.668, 0.05222)
               0.356                   (0.8498, -0.5271)                   (1.668, 0.04838)
               0.357                   (0.8483, -0.5295)                   (1.667, 0.04452)
               0.358                   (0.8469, -0.5318)                   (1.667, 0.04066)
               0.359                   (0.8454, -0.5342)                   (1.666, 0.03678)
                0.36                   (0.8439, -0.5365)                   (1.666, 0.0329)
               0.361                   (0.8424, -0.5389)                   (1.666, 0.029)
